question,correct_answer,incorrect_answer_1,incorrect_answer_2,incorrect_answer_3
¿Cuál es la capital de Colombia?,Bogotá,Medellín,Cali,Barranquilla
¿Cuál es el río más largo de Colombia?,Río Magdalena,Río Cauca,Río Amazonas,Río Atrato
¿En qué año Colombia ganó su independencia?,1810,1819,1825,1830
¿Cuál es el café más famoso de Colombia?,Café de Colombia,Café de Antioquia,Café del Cauca,Café Tolimense
¿Qué océano limita al norte de Colombia?,Océano Atlántico,Océano Pacífico,Océano Índico,Océano Ártico
¿Cuál es el nombre de la moneda oficial de Colombia?,Peso colombiano,Dólar colombiano,Bolívar colombiano,Peso venezolano
¿Quién fue el primer presidente de Colombia?,Simón Bolívar,Francisco de Paula Santander,Rafael Núñez,José Hilario López
¿Qué ciudad es conocida como la "Ciudad de la Eterna Primavera"?,Medellín,Cali,Bogotá,Cartagena
¿Cuál es la montaña más alta de Colombia?,Pico Cristóbal Colón,Pico Simón Bolívar,Montaña Galeras,Cerro Tota
¿En qué departamento se encuentra la ciudad de Cartagena?,Bolívar,Magdalena,Sucre,Cesar
¿Qué parque es conocido por su diversidad de fauna y flora en Colombia?,Parque Nacional Natural Tayrona,Parque Natural Los Nevados,Parque Nacional Chiribiquete,Parque Natural de Cocuy
¿Cuál es la flor nacional de Colombia?,Orquídea,Rosa,Girasol,Flor de Loto
¿Cuál es el ave nacional de Colombia?,Cóndor de los Andes,Águila real,Pájaro carpintero,Colibrí
¿Cuál es el evento de flores más famoso de Colombia?,Feria de las Flores,Feria de Manizales,Festival Vallenato,Feria de Cali
¿Qué ciudad es conocida por sus murallas históricas?,Cartagena,Bogotá,Medellín,Santa Marta
¿Quién es un escritor colombiano ganador del Premio Nobel?,Gabriel García Márquez,Alvaro Mutis,Fernando Vallejo,Jorge Isaacs
¿En qué región se encuentra la Amazonía colombiana?,Sur,Norte,Occidente,Centro
¿Cuál es el género musical tradicional de la costa caribeña de Colombia?,Cumbia,Tango,Salsa,Bachata
¿Cuál es el nombre de la cadena montañosa principal de Colombia?,Cordillera de los Andes,Cordillera Oriental,Cordillera Occidental,Cordillera Central
¿Cuál es la bebida alcohólica tradicional de Colombia?,Aguardiente,Tequila,Pisco,Vodka
¿Qué festival es reconocido por la UNESCO como Patrimonio Cultural Inmaterial?,Carnaval de Barranquilla,Feria de las Flores,Feria de Manizales,Festival de Jazz en Mompox
¿En qué mes se celebra la independencia de Colombia?,Julio,Mayo,Septiembre,Noviembre
¿Qué ciudad es conocida por su arquitectura colonial en Colombia?,Villa de Leyva,San Andrés,Leticia,Neiva
¿Cuál es la segunda ciudad más poblada de Colombia?,Medellín,Cali,Barranquilla,Bogotá
¿Cuál es el nombre del escritor de la novela "El amor en los tiempos del cólera"?,Gabriel García Márquez,Álvaro Mutis,Mario Mendoza,Laura Restrepo
¿Cuál es el nombre del aeropuerto internacional de Bogotá?,El Dorado,José María Córdova,Alfonso Bonilla Aragón,Simón Bolívar
¿Qué país no limita con Colombia?,Chile,Venezuela,Ecuador,Panamá
¿Cuál es la celebración religiosa más famosa en Popayán?,Semana Santa,Día de la Candelaria,Feria de Cali,Carnaval de Barranquilla
¿En qué departamento se encuentra la ciudad de Medellín?,Antioquia,Cundinamarca,Valle del Cauca,Bolívar
¿Cuál es el principal producto de exportación de Colombia?,Petróleo,Oro,Café,Esmeraldas
